1,14720,132
2,15517,132
3,15534,132
4,14595,132
5,15699,132
6,13892,132
7,16626,132
8,17113,132
9,15827,132
10,16909,132
11,15409,132
12,15778,132
13,13728,132
14,16605,132
15,15035,132
16,15262,132
17,14786,132
18,14963,132
19,16512,132
20,14625,132
21,15000,132
22,15103,132
23,15050,132
24,15255,132
25,15455,132
26,16203,132
27,15539,132
28,14620,132
29,14811,132
30,15024,132
31,15948,132
32,15933,132
33,15219,132
34,14805,132
35,15620,132
36,16532,132
37,15502,132
38,16031,132
39,14081,132
40,15014,132
41,15585,132
42,15357,132
43,14361,132
44,15033,132
45,14813,132
46,14390,132
47,14951,132
48,15894,132
49,14915,132
50,17253,132
51,14185,132
52,15250,132
53,16369,132
54,14717,132
55,14233,132
56,13459,132
57,15041,132
58,15255,132
59,15522,132
60,14151,132
61,14150,132
62,14797,132
63,16369,132
64,15556,132
65,15598,132
66,14467,132
67,14868,132
68,14505,132
69,16593,132
70,17512,132
71,16626,132
72,15050,132
73,15466,132
74,16093,132
75,14673,132
76,15963,132
77,16257,132
78,15359,132
79,14466,132
80,15508,132
81,15023,132
82,15400,132
83,16007,132
84,16191,132
85,16528,132
86,18054,132
87,17476,132
88,15512,132
89,16811,132
90,18689,132
91,16759,132
92,17799,132
93,15863,132
94,15794,132
95,15146,132
96,16446,132
97,14416,132
98,17093,132
99,15632,132
100,16475,132
